[train] Loaded 50000 real images  |  batches: 390
[valid] Loaded 10000 real images  |  batches: 79
[test] Loaded 10000 real images  |  batches: 79
/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
  Step 1/5 | Epoch 88/300 | alpha: 1.00 | D loss: 0.0576 | G loss: 11.1926
  Step 1/5 | Epoch 89/300 | alpha: 1.00 | D loss: 0.0573 | G loss: 11.1950
  Step 1/5 | Epoch 90/300 | alpha: 1.00 | D loss: 0.0552 | G loss: 11.1185
  Step 1/5 | Epoch 91/300 | alpha: 1.00 | D loss: 0.0537 | G loss: 11.1345
  Step 1/5 | Epoch 92/300 | alpha: 1.00 | D loss: 0.0543 | G loss: 11.1211
  Step 1/5 | Epoch 93/300 | alpha: 1.00 | D loss: 0.0531 | G loss: 11.1560
  Step 1/5 | Epoch 94/300 | alpha: 1.00 | D loss: 0.0561 | G loss: 10.9931
  Step 1/5 | Epoch 95/300 | alpha: 1.00 | D loss: 0.0559 | G loss: 11.1091
  Step 1/5 | Epoch 96/300 | alpha: 1.00 | D loss: 0.0543 | G loss: 11.1357
  Step 1/5 | Epoch 97/300 | alpha: 1.00 | D loss: 0.0532 | G loss: 11.0476
  Step 1/5 | Epoch 98/300 | alpha: 1.00 | D loss: 0.0527 | G loss: 11.0802
  Step 1/5 | Epoch 99/300 | alpha: 1.00 | D loss: 0.0526 | G loss: 10.9724
  Step 1/5 | Epoch 100/300 | alpha: 1.00 | D loss: 0.0525 | G loss: 10.9666
  Step 1/5 | Epoch 101/300 | alpha: 1.00 | D loss: 0.0503 | G loss: 11.1181
  Step 1/5 | Epoch 102/300 | alpha: 1.00 | D loss: 0.0498 | G loss: 11.3207
  Step 1/5 | Epoch 103/300 | alpha: 1.00 | D loss: 0.0465 | G loss: 11.3599
  Step 1/5 | Epoch 104/300 | alpha: 1.00 | D loss: 0.0478 | G loss: 11.5272
  Step 1/5 | Epoch 105/300 | alpha: 1.00 | D loss: 0.0484 | G loss: 11.6653
  Step 1/5 | Epoch 106/300 | alpha: 1.00 | D loss: 0.0498 | G loss: 11.7558
  Step 1/5 | Epoch 107/300 | alpha: 1.00 | D loss: 0.0467 | G loss: 11.8581
  Step 1/5 | Epoch 108/300 | alpha: 1.00 | D loss: 0.0514 | G loss: 11.9992
  Step 1/5 | Epoch 109/300 | alpha: 1.00 | D loss: 0.0516 | G loss: 12.1512
  Step 1/5 | Epoch 110/300 | alpha: 1.00 | D loss: 0.0522 | G loss: 12.1569
  Step 1/5 | Epoch 111/300 | alpha: 1.00 | D loss: 0.0542 | G loss: 12.3286
  Step 1/5 | Epoch 112/300 | alpha: 1.00 | D loss: 0.0532 | G loss: 12.4394
  Step 1/5 | Epoch 113/300 | alpha: 1.00 | D loss: 0.0577 | G loss: 12.5004
  Step 1/5 | Epoch 114/300 | alpha: 1.00 | D loss: 0.0547 | G loss: 12.2817
  Step 1/5 | Epoch 115/300 | alpha: 1.00 | D loss: 0.0546 | G loss: 12.4714
  Step 1/5 | Epoch 116/300 | alpha: 1.00 | D loss: 0.0553 | G loss: 12.3594
  Step 1/5 | Epoch 117/300 | alpha: 1.00 | D loss: 0.0566 | G loss: 12.3764
  Step 1/5 | Epoch 118/300 | alpha: 1.00 | D loss: 0.0559 | G loss: 12.4956
  Step 1/5 | Epoch 119/300 | alpha: 1.00 | D loss: 0.0530 | G loss: 12.5116
  Step 1/5 | Epoch 120/300 | alpha: 1.00 | D loss: 0.0538 | G loss: 12.6614
  Step 1/5 | Epoch 121/300 | alpha: 1.00 | D loss: 0.0544 | G loss: 12.8554
  Step 1/5 | Epoch 122/300 | alpha: 1.00 | D loss: 0.0511 | G loss: 12.9585
  Step 1/5 | Epoch 123/300 | alpha: 1.00 | D loss: 0.0508 | G loss: 12.9913
  Step 1/5 | Epoch 124/300 | alpha: 1.00 | D loss: 0.0517 | G loss: 12.9551
  Step 1/5 | Epoch 125/300 | alpha: 1.00 | D loss: 0.0488 | G loss: 12.8570
  Step 1/5 | Epoch 126/300 | alpha: 1.00 | D loss: 0.0487 | G loss: 12.7928
  Step 1/5 | Epoch 127/300 | alpha: 1.00 | D loss: 0.0478 | G loss: 12.7035
  Step 1/5 | Epoch 128/300 | alpha: 1.00 | D loss: 0.0470 | G loss: 12.6039
  Step 1/5 | Epoch 129/300 | alpha: 1.00 | D loss: 0.0477 | G loss: 12.6631
  Step 1/5 | Epoch 130/300 | alpha: 1.00 | D loss: 0.0471 | G loss: 12.7168
  Step 1/5 | Epoch 131/300 | alpha: 1.00 | D loss: 0.0473 | G loss: 12.6238
  Step 1/5 | Epoch 132/300 | alpha: 1.00 | D loss: 0.0463 | G loss: 12.6112
  Step 1/5 | Epoch 133/300 | alpha: 1.00 | D loss: 0.0445 | G loss: 12.7465
  Step 1/5 | Epoch 134/300 | alpha: 1.00 | D loss: 0.0446 | G loss: 12.7410
  Step 1/5 | Epoch 135/300 | alpha: 1.00 | D loss: 0.0440 | G loss: 12.5044
  Step 1/5 | Epoch 136/300 | alpha: 1.00 | D loss: 0.0446 | G loss: 12.8284
  Step 1/5 | Epoch 137/300 | alpha: 1.00 | D loss: 0.0436 | G loss: 12.6553
  Step 1/5 | Epoch 138/300 | alpha: 1.00 | D loss: 0.0421 | G loss: 12.5955
  Step 1/5 | Epoch 139/300 | alpha: 1.00 | D loss: 0.0460 | G loss: 12.5963
  Step 1/5 | Epoch 140/300 | alpha: 1.00 | D loss: 0.0475 | G loss: 12.3024
  Step 1/5 | Epoch 141/300 | alpha: 1.00 | D loss: 0.0469 | G loss: 12.1878
  Step 1/5 | Epoch 142/300 | alpha: 1.00 | D loss: 0.0497 | G loss: 12.0232
  Step 1/5 | Epoch 143/300 | alpha: 1.00 | D loss: 0.0487 | G loss: 11.8471
  Step 1/5 | Epoch 144/300 | alpha: 1.00 | D loss: 0.0519 | G loss: 11.6993
  Step 1/5 | Epoch 145/300 | alpha: 1.00 | D loss: 0.0497 | G loss: 11.9759
  Step 1/5 | Epoch 146/300 | alpha: 1.00 | D loss: 0.0474 | G loss: 12.7246
  Step 1/5 | Epoch 147/300 | alpha: 1.00 | D loss: 0.0460 | G loss: 12.9422
  Step 1/5 | Epoch 148/300 | alpha: 1.00 | D loss: 0.0465 | G loss: 13.1163
  Step 1/5 | Epoch 149/300 | alpha: 1.00 | D loss: 0.0472 | G loss: 13.0159
  Step 1/5 | Epoch 150/300 | alpha: 1.00 | D loss: 0.0440 | G loss: 13.0075
  Step 1/5 | Epoch 151/300 | alpha: 1.00 | D loss: 0.0453 | G loss: 13.0154
  Step 1/5 | Epoch 152/300 | alpha: 1.00 | D loss: 0.0442 | G loss: 13.1166
  Step 1/5 | Epoch 153/300 | alpha: 1.00 | D loss: 0.0443 | G loss: 12.9330
  Step 1/5 | Epoch 154/300 | alpha: 1.00 | D loss: 0.0453 | G loss: 13.0549
  Step 1/5 | Epoch 155/300 | alpha: 1.00 | D loss: 0.0477 | G loss: 13.0112
  Step 1/5 | Epoch 156/300 | alpha: 1.00 | D loss: 0.0479 | G loss: 13.0198
  Step 1/5 | Epoch 157/300 | alpha: 1.00 | D loss: 0.0435 | G loss: 13.3782
  Step 1/5 | Epoch 158/300 | alpha: 1.00 | D loss: 0.0431 | G loss: 13.6380
  Step 1/5 | Epoch 159/300 | alpha: 1.00 | D loss: 0.0412 | G loss: 13.3951
  Step 1/5 | Epoch 160/300 | alpha: 1.00 | D loss: 0.0419 | G loss: 13.5418
  Step 1/5 | Epoch 161/300 | alpha: 1.00 | D loss: 0.0424 | G loss: 13.5998
  Step 1/5 | Epoch 162/300 | alpha: 1.00 | D loss: 0.0398 | G loss: 13.4314
  Step 1/5 | Epoch 163/300 | alpha: 1.00 | D loss: 0.0410 | G loss: 13.4775
  Step 1/5 | Epoch 164/300 | alpha: 1.00 | D loss: 0.0413 | G loss: 13.3280
  Step 1/5 | Epoch 165/300 | alpha: 1.00 | D loss: 0.0377 | G loss: 13.3860
  Step 1/5 | Epoch 166/300 | alpha: 1.00 | D loss: 0.0396 | G loss: 13.2208
  Step 1/5 | Epoch 167/300 | alpha: 1.00 | D loss: 0.0390 | G loss: 13.3328
  Step 1/5 | Epoch 168/300 | alpha: 1.00 | D loss: 0.0394 | G loss: 13.0979
  Step 1/5 | Epoch 169/300 | alpha: 1.00 | D loss: 0.0417 | G loss: 13.2562
  Step 1/5 | Epoch 170/300 | alpha: 1.00 | D loss: 0.0418 | G loss: 13.1052
  Step 1/5 | Epoch 171/300 | alpha: 1.00 | D loss: 0.0430 | G loss: 12.7757
  Step 1/5 | Epoch 172/300 | alpha: 1.00 | D loss: 0.0423 | G loss: 12.8556
  Step 1/5 | Epoch 173/300 | alpha: 1.00 | D loss: 0.0456 | G loss: 12.7111
  Step 1/5 | Epoch 174/300 | alpha: 1.00 | D loss: 0.0461 | G loss: 12.6289
  Step 1/5 | Epoch 175/300 | alpha: 1.00 | D loss: 0.0453 | G loss: 12.4856
  Step 1/5 | Epoch 176/300 | alpha: 1.00 | D loss: 0.0451 | G loss: 12.2504
  Step 1/5 | Epoch 177/300 | alpha: 1.00 | D loss: 0.0493 | G loss: 12.0746
  Step 1/5 | Epoch 178/300 | alpha: 1.00 | D loss: 0.0479 | G loss: 12.0388
  Step 1/5 | Epoch 179/300 | alpha: 1.00 | D loss: 0.0494 | G loss: 11.7591
  Step 1/5 | Epoch 180/300 | alpha: 1.00 | D loss: 0.0500 | G loss: 11.6828
  Step 1/5 | Epoch 181/300 | alpha: 1.00 | D loss: 0.0521 | G loss: 11.7103
  Step 1/5 | Epoch 182/300 | alpha: 1.00 | D loss: 0.0523 | G loss: 11.6076
  Step 1/5 | Epoch 183/300 | alpha: 1.00 | D loss: 0.0518 | G loss: 11.6637
  Step 1/5 | Epoch 184/300 | alpha: 1.00 | D loss: 0.0505 | G loss: 11.5827
  Step 1/5 | Epoch 185/300 | alpha: 1.00 | D loss: 0.0513 | G loss: 11.8373
  Step 1/5 | Epoch 186/300 | alpha: 1.00 | D loss: 0.0467 | G loss: 11.9917
  Step 1/5 | Epoch 187/300 | alpha: 1.00 | D loss: 0.0443 | G loss: 11.9742
  Step 1/5 | Epoch 188/300 | alpha: 1.00 | D loss: 0.0404 | G loss: 12.0295
  Step 1/5 | Epoch 189/300 | alpha: 1.00 | D loss: 0.0424 | G loss: 12.1066
  Step 1/5 | Epoch 190/300 | alpha: 1.00 | D loss: 0.0402 | G loss: 12.1081
  Step 1/5 | Epoch 191/300 | alpha: 1.00 | D loss: 0.0390 | G loss: 11.9390
  Step 1/5 | Epoch 192/300 | alpha: 1.00 | D loss: 0.0379 | G loss: 11.7838
  Step 1/5 | Epoch 193/300 | alpha: 1.00 | D loss: 0.0414 | G loss: 11.6527
  Step 1/5 | Epoch 194/300 | alpha: 1.00 | D loss: 0.0387 | G loss: 11.4439
  Step 1/5 | Epoch 195/300 | alpha: 1.00 | D loss: 0.0396 | G loss: 11.1019
